Date,Price,Open,High,Low,Volume,Change %
01/03/1975,174.7,173.0,175.5,170.5,,-0.23
01/06/1975,174.4,172.0,174.5,167.5,,-0.17
01/07/1975,173.4,171.0,174.0,168.5,,-0.57
01/08/1975,177.4,176.0,180.0,176.0,,2.31
01/09/1975,178.3,179.0,179.1,177.0,,0.51
01/10/1975,181.3,177.0,181.3,176.5,,1.68
01/13/1975,178.6,181.0,181.0,178.6,,-1.49
01/14/1975,178.6,177.0,178.6,176.5,,0.0
01/15/1975,177.3,178.8,179.4,177.3,,-0.73
01/16/1975,175.1,177.0,177.0,174.6,,-1.24
01/17/1975,172.1,174.7,175.8,172.1,,-1.71
01/20/1975,176.2,173.6,176.2,173.6,,2.38
01/21/1975,173.7,173.7,173.7,173.7,,-1.42
01/22/1975,174.3,175.9,175.9,174.3,,0.35
01/23/1975,176.4,177.0,178.9,176.4,,1.2
01/24/1975,179.5,179.0,180.0,177.8,,1.76
01/27/1975,176.8,180.0,180.0,176.8,,-1.5
01/28/1975,176.0,177.3,177.3,175.4,,-0.45
01/29/1975,179.1,177.4,179.1,177.4,,1.76
01/30/1975,178.3,179.7,180.7,178.0,,-0.45
01/31/1975,178.0,178.0,178.4,177.0,,-0.17
02/03/1975,178.3,179.1,179.7,178.1,,0.17
02/04/1975,177.3,176.5,177.5,175.6,,-0.56
02/05/1975,176.7,177.2,177.7,176.5,,-0.34
02/06/1975,176.3,174.9,176.7,174.1,,-0.23
02/07/1975,177.3,177.2,177.4,176.4,,0.57
02/10/1975,175.6,176.0,176.4,175.5,,-0.96
02/11/1975,176.8,176.3,177.1,171.3,,0.68
02/13/1975,185.8,180.5,186.7,180.2,,5.09
02/14/1975,184.9,186.0,186.8,182.5,,-0.48
02/18/1975,185.4,182.0,185.7,181.7,,0.27
02/19/1975,185.6,186.0,188.0,185.5,,0.11
02/20/1975,187.7,185.7,188.4,185.4,,1.13
02/21/1975,186.0,188.0,188.5,185.0,,-0.91
02/24/1975,186.9,186.7,187.5,186.7,,0.48
02/25/1975,184.4,189.0,189.0,184.1,,-1.34
02/26/1975,185.2,185.5,185.7,183.2,,0.43
02/27/1975,182.5,184.2,184.9,181.4,,-1.46
02/28/1975,183.0,183.0,183.0,181.0,,0.27
03/03/1975,182.6,183.3,187.5,182.2,,-0.22
03/04/1975,177.0,181.5,185.0,177.0,,-3.07
03/05/1975,178.7,177.0,180.1,176.4,,0.96
03/06/1975,180.6,179.8,181.4,179.8,,1.06
03/07/1975,178.0,179.5,179.5,176.8,,-1.44
03/10/1975,177.2,177.1,177.8,176.1,,-0.45
03/11/1975,180.0,179.1,180.5,178.7,,1.58
03/12/1975,178.1,178.0,178.7,177.6,,-1.06
03/13/1975,179.5,178.9,180.0,178.9,,0.79
03/14/1975,178.7,178.4,178.7,178.1,,-0.45
03/17/1975,179.0,178.5,179.3,177.6,,0.17
03/18/1975,178.6,179.0,179.5,178.3,,-0.22
03/19/1975,179.2,179.2,179.4,178.5,,0.34
03/20/1975,175.5,178.8,178.8,175.0,,-2.06
03/21/1975,175.6,176.5,177.0,175.5,,0.06
03/24/1975,175.9,176.8,178.8,175.2,,0.17
03/25/1975,176.2,177.2,177.2,175.7,,0.17
03/26/1975,178.1,176.5,178.2,176.5,,1.08
03/27/1975,176.0,177.8,178.0,175.4,,-1.18
03/31/1975,179.5,178.2,179.7,178.0,,1.99
04/01/1975,179.1,179.7,179.7,178.4,,-0.22
04/02/1975,178.1,179.6,179.9,177.9,,-0.56
04/03/1975,177.1,177.5,177.5,176.0,,-0.56
04/04/1975,173.8,175.5,175.9,173.3,,-1.86
04/07/1975,174.1,174.5,174.5,173.0,,0.17
04/08/1975,174.5,175.2,175.6,174.4,,0.23
04/09/1975,174.5,174.0,174.7,173.3,,0.0
04/10/1975,173.1,173.7,173.7,172.1,,-0.8
